1	Privateflight	\N	-	N/A	\N	\N	Y
2	135Airways	\N	\N	GNL	GENERAL	UnitedStates	N
3	1TimeAirline	\N	1T	RNX	NEXTIME	SouthAfrica	Y
4	2SqnNo1ElementaryFlyingTrainingSchool	\N	\N	WYT	\N	UnitedKingdom	N
5	213FlightUnit	\N	\N	TFU	\N	Russia	N
6	223FlightUnitStateAirline	\N	\N	CHD	CHKALOVSK-AVIA	Russia	N
7	224thFlightUnit	\N	\N	TTF	CARGOUNIT	Russia	N
8	247JetLtd	\N	\N	TWF	CLOUDRUNNER	UnitedKingdom	N
9	3DAviation	\N	\N	SEC	SECUREX	UnitedStates	N
10	40-MileAir	\N	Q5	MLA	MILE-AIR	UnitedStates	Y
11	4DAir	\N	\N	QRT	QUARTET	Thailand	N
12	611897AlbertaLimited	\N	\N	THD	DONUT	Canada	N
13	AnsettAustralia	\N	AN	AAA	ANSETT	Australia	Y
14	AbacusInternational	\N	1B	\N	\N	Singapore	Y
15	AbelagAviation	\N	W9	AAB	ABG	Belgium	N
16	ArmyAirCorps	\N	\N	AAC	ARMYAIR	UnitedKingdom	N
17	AeroAviationCentreLtd.	\N	\N	AAD	SUNRISE	Canada	N
18	AeroServiciosEjecutivosInternacionales	\N	\N	SII	ASEISA	Mexico	N
19	AeroBiniza	\N	\N	BZS	BINIZA	Mexico	N
20	AeroAlbatros	\N	\N	ABM	ALBATROSESPANA	Spain	N
21	AigleAzur	\N	ZI	AAF	AIGLEAZUR	France	Y
22	AlohaAirlines	\N	AQ	AAH	ALOHA	UnitedStates	Y
23	AlaskaIslandAir	\N	\N	AAK	ALASKAISLAND	UnitedStates	N
24	AmericanAirlines	\N	AA	AAL	AMERICAN	UnitedStates	Y
25	AviationManagementCorporation	\N	\N	AAM	AMCORP	UnitedStates	N
26	AtlantisAirlines(USA)	\N	\N	AAO	ATLANTISAIR	UnitedStates	N
27	AerovistaAirlines	\N	\N	AAP	AEROVISTAGROUP	UnitedArabEmirates	N
28	AsianaAirlines	\N	OZ	AAR	ASIANA	RepublicofKorea	Y
29	AskariAviation	\N	4K	AAS	AL-AAS	Pakistan	Y
30	AustraliaAsiaAirlines	\N	\N	AAU	AUSTASIA	Australia	N
31	AstroAirInternational	\N	\N	AAV	ASTRO-PHIL	UnitedStates	N
32	AfriqiyahAirways	\N	8U	AAW	AFRIQIYAH	Libya	Y
33	AfrinatInternationalAirlines	\N	Q9	AFU	\N	Gambia	N
34	Afric'airExpress	\N	\N	AAX	AFREX	IvoryCoast	N
35	AllegiantAir	\N	G4	AAY	ALLEGIANT	UnitedStates	Y
36	AngusAviation	\N	\N	AAZ	ANGUS	Canada	N
37	Artem-Avia	\N	\N	ABA	ARTEM-AVIA	Ukraine	N
38	AfricanBusinessandTransportations	\N	\N	ABB	AFRICANBUSINESS-	DemocraticRepublicoftheCongo	N
39	AbanAir	\N	K5	ABE	ABAN	Iran	n
40	AerialOy	\N	\N	ABF	SKYWINGS	Finland	N
41	Abakan-Avia	\N	\N	ABG	ABAKAN-AVIA	Russia	N
42	ABSA-AerolinhasBrasileiras	\N	M3	TUS	ABSACargo	Brazil	Y
43	Abaet	\N	\N	ABJ	Abaet	Brazil	N
44	AlbertaCitylink	\N	\N	ABK	ALBERTACITYLINK	Canada	N
45	APSAColombia	\N	\N	ABO	AEROEXPRESO	Colombia	N
46	AeroviasBueno	\N	\N	ABU	AEROBUENO	Colombia	N
47	Aerocenter	\N	\N	ACR	EscueladeFormaciondePioltosPrivadosdeAvion	AEROCENTER	N
48	AntrakAir	\N	04	ABV	ANTRAK	Ghana	N
49	AirborneExpress	\N	GB	ABX	ABEX	UnitedStates	N
50	ABXAir	\N	GB	ABX	ABEX	UnitedStates	N
